index,labels
0,2
1,0
2,4
3,6
4,4
5,4
6,3
7,0
8,4
9,2
10,6
11,2
12,1
13,1
14,0
15,7
16,0
17,1
18,6
19,6
20,5
21,1
22,6
23,3
24,7
25,1
26,4
27,4
28,3
29,3
30,7
31,5
32,1
33,6
34,5
35,3
36,0
37,7
38,1
39,4
40,0
41,7
42,7
43,4
44,4
45,5
46,4
47,1
48,1
49,0
50,2
51,1
52,7
53,3
54,7
55,0
56,4
57,3
58,1
59,1
60,4
61,4
62,4
63,5
64,4
65,4
66,4
67,6
68,7
69,2
70,7
71,4
72,4
73,6
74,0
75,6
76,1
77,4
78,6
79,7
80,4
81,1
82,4
83,7
84,1
85,6
86,5
87,2
88,6
89,3
90,7
91,4
92,0
93,2
94,2
95,5
96,0
97,1
98,7
99,1
100,4
101,1
102,3
103,1
104,6
105,5
106,7
107,0
108,0
109,5
110,6
111,0
112,7
113,3
114,5
115,7
116,3
117,5
118,3
119,5
120,1
121,0
122,1
123,7
124,6
125,4
126,3
127,4
128,6
129,7
130,0
131,6
132,2
133,5
134,2
135,0
136,2
137,3
138,7
139,7
140,5
141,3
142,4
143,5
144,5
145,0
146,1
147,2
148,1
149,3
150,2
151,0
152,2
153,1
154,6
155,2
156,2
157,7
158,1
159,3
160,6
161,7
162,4
163,6
164,0
165,0
166,2
167,4
168,5
169,4
170,1
171,5
172,4
173,3
174,5
175,4
176,6
177,6
178,0
179,0
180,3
181,0
182,4
183,0
184,3
185,7
186,0
187,2
188,4
189,5
190,5
191,5
192,1
193,2
194,4
195,5
196,6
197,4
198,5
199,1
200,0
201,3
202,2
203,3
204,4
205,5
206,5
207,5
208,1
209,7
210,0
211,7
212,1
213,6
214,4
215,1
216,4
217,2
218,2
219,3
220,3
221,1
222,4
223,1
224,5
225,4
226,2
227,6
228,5
229,3
230,0
231,4
232,4
233,2
234,7
235,7
236,3
237,1
238,4
239,3
240,1
241,5
242,0
243,3
244,5
245,4
246,6
247,0
248,3
249,6
250,3
251,5
252,3
253,0
254,2
255,6
256,1
257,1
258,2
259,5
260,6
261,7
262,0
263,1
264,6
265,7
266,3
267,6
268,4
269,1
270,7
271,0
272,4
273,3
274,5
275,4
276,0
277,4
278,3
279,3
280,7
281,1
282,5
283,4
284,2
285,7
286,7
287,0
288,1
289,7
290,0
291,1
292,6
293,5
294,5
295,5
296,7
297,0
298,3
299,2
300,7
301,3
302,5
303,1
304,6
305,3
306,0
307,5
308,6
309,6
310,4
311,3
312,6
313,4
314,5
315,1
316,1
317,6
318,2
319,0
320,0
321,7
322,7
323,5
324,0
325,6
326,5
327,0
328,5
329,5
330,7
331,0
332,0
333,0
334,3
335,4
336,1
337,6
338,2
339,2
340,5
341,6
342,4
343,5
344,2
345,5
346,6
347,3
348,0
349,7
350,6
351,5
352,3
353,2
354,2
355,1
356,7
357,1
358,1
359,6
360,7
361,0
362,0
363,3
364,5
365,7
366,7
367,7
368,6
369,4
370,2
371,5
372,1
373,3
374,4
375,6
376,3
377,3
378,4
379,4
380,1
381,1
382,2
383,1
384,3
385,5
386,4
387,2
388,4
389,3
390,6
391,1
392,7
393,4
394,1
395,0
396,5
397,2
398,5
399,3
400,5
401,4
402,3
403,0
404,7
405,0
406,7
407,4
408,2
409,2
410,0
411,1
412,1
413,7
414,1
415,5
416,6
417,3
418,7
419,2
420,3
421,5
422,2
423,4
424,0
425,1
426,0
427,7
428,1
429,5
430,4
431,2
432,4
433,0
434,6
435,5
436,2
437,2
438,2
439,6
440,7
441,4
442,0
443,1
444,7
445,5
446,4
447,4
448,7
449,4
450,6
451,4
452,5
453,6
454,7
455,2
456,0
457,1
458,3
459,4
460,4
461,1
462,2
463,4
464,3
465,2
466,4
467,5
468,3
469,3
470,5
471,4
472,7
473,0
474,3
475,1
476,1
477,2
478,1
479,4
480,7
481,7
482,5
483,1
484,0
485,5
486,4
487,3
488,7
489,4
490,4
491,6
492,0
493,0
494,1
495,7
496,4
497,6
498,5
499,0
500,4
501,6
502,7
503,2
504,4
505,7
506,2
507,7
508,0
509,0
510,5
511,3
512,3
513,2
514,7
515,1
516,7
517,2
518,0
519,0
520,5
521,4
522,6
523,5
524,3
525,3
526,5
527,4
528,5
529,5
530,1
531,7
532,2
533,1
534,7
535,1
536,4
537,7
538,0
539,5
540,7
541,0
542,1
543,6
544,7
545,6
546,5
547,5
548,1
549,7
550,3
551,1
552,1
553,6
554,5
555,3
556,6
557,2
558,5
559,6
560,2
561,5
562,4
563,2
564,3
565,4
566,0
567,1
568,2
569,4
570,4
571,6
572,5
573,4
574,0
575,7
576,5
577,2
578,1
579,5
580,4
581,1
582,6
583,7
584,5
585,0
586,2
587,6
588,0
589,5
590,7
591,0
592,7
593,0
594,6
595,5
596,7
597,2
598,2
599,3
600,0
601,5
602,6
603,2
604,4
605,1
606,1
607,2
608,7
609,0
610,3
611,7
612,4
613,4
614,7
615,7
616,0
617,6
618,1
619,0
620,6
621,1
622,1
623,4
624,3
625,3
626,0
627,0
628,4
629,2
630,7
631,7
632,1
633,7
634,6
635,0
636,6
637,7
638,4
639,6
640,3
641,6
642,1
643,4
644,4
645,5
646,5
647,4
648,6
649,5
650,0
651,3
652,2
653,5
654,2
655,3
656,2
657,7
658,0
659,3
660,3
661,6
662,1
663,3
664,2
665,5
666,2
667,6
668,5
669,3
670,6
671,0
672,4
673,1
674,3
675,4
676,2
677,7
678,4
679,6
680,1
681,7
682,6
683,6
684,5
685,0
686,6
687,7
688,6
689,7
690,5
691,5
692,3
693,0
694,5
695,2
696,6
697,5
698,5
699,4
700,1
701,1
702,2
703,7
704,7
705,0
706,0
707,2
708,2
709,2
710,6
711,0
712,1
713,0
714,5
715,6
716,2
717,4
718,6
719,5
720,2
721,6
722,2
723,7
724,5
725,7
726,1
727,7
728,3
729,6
730,1
731,7
732,2
733,6
734,6
735,1
736,7
737,7
738,0
739,0
740,2
741,6
742,5
743,5
744,1
745,7
746,5
747,7
748,7
749,4
750,3
751,2
752,7
753,1
754,0
755,6
756,2
757,3
758,0
759,3
760,7
761,5
762,5
763,5
764,7
765,6
766,3
767,3
768,1
769,1
770,0
771,3
772,5
773,2
774,0
775,1
776,7
777,3
778,3
779,2
780,1
781,1
782,3
783,6
784,3
785,6
786,1
787,1
788,7
789,6
790,7
791,3
792,3
793,5
794,6
795,1
796,6
797,0
798,3
799,0
800,3
801,7
802,6
803,6
804,1
805,4
806,1
807,5
808,1
809,1
810,6
811,0
812,2
813,6
814,7
815,2
816,7
817,7
818,3
819,2
820,1
821,4
822,1
823,6
824,7
825,2
826,7
827,6
828,1
829,5
830,4
831,5
832,4
833,6
834,6
835,7
836,7
837,2
838,6
839,5
840,0
841,6
842,5
843,5
844,5
845,3
846,4
847,3
848,7
849,4
850,0
851,2
852,0
853,5
854,5
855,4
856,5
857,4
858,2
859,7
860,5
861,7
862,5
863,6
864,2
865,0
866,3
867,7
868,6
869,0
870,4
871,5
872,5
873,7
874,2
875,7
876,3
877,3
878,1
879,3
880,2
881,5
882,4
883,4
884,4
885,2
886,4
887,0
888,2
889,1
890,7
891,0
892,0
893,5
894,2
895,2
896,1
897,5
898,1
899,4
900,1
901,5
902,3
903,0
904,2
905,4
906,3
907,4
908,0
909,3
910,7
911,6
912,5
913,1
914,2
915,5
916,4
917,2
918,5
919,7
920,7
921,3
922,7
923,2
924,2
925,5
926,5
927,1
928,2
929,2
930,7
931,6
932,2
933,4
934,1
935,1
936,6
937,6
938,1
939,6
940,7
941,7
942,4
943,5
944,7
945,6
946,4
947,3
948,1
949,5
950,0
951,2
952,0
953,6
954,5
955,5
956,3
957,6
958,5
959,3
960,7
961,3
962,6
963,3
964,3
965,4
966,4
967,7
968,5
969,4
970,3
971,4
972,4
973,1
974,6
975,2
976,1
977,3
978,4
979,0
980,2
981,5
982,7
983,6
984,1
985,5
986,4
987,2
988,6
989,1
990,5
991,7
992,2
993,7
994,2
995,4
996,3
997,5
998,4
999,0
1000,3
1001,3
1002,7
1003,4
1004,2
1005,6
1006,5
1007,7
1008,1
1009,0
1010,3
1011,7
1012,4
1013,0
1014,2
1015,0
1016,3
1017,1
1018,5
1019,0
1020,1
1021,5
1022,5
1023,1
1024,1
1025,1
1026,5
1027,3
1028,5
1029,0
1030,4
1031,7
1032,5
1033,0
1034,7
1035,7
1036,3
1037,0
1038,1
1039,1
1040,4
1041,1
1042,3
1043,7
1044,0
1045,3
1046,3
1047,1
1048,4
1049,5
1050,5
1051,4
1052,6
1053,3
1054,7
1055,0
1056,4
1057,7
1058,2
1059,4
1060,2
1061,0
1062,5
1063,4
1064,5
1065,6
1066,6
1067,4
1068,2
1069,4
1070,6
1071,0
1072,1
1073,7
1074,0
1075,5
1076,5
1077,7
1078,3
1079,7
1080,0
1081,5
1082,5
1083,1
1084,4
1085,1
1086,7
1087,2
1088,6
1089,6
1090,2
1091,7
1092,5
1093,5
1094,7
1095,7
1096,0
1097,5
1098,1
1099,3
1100,2
1101,0
1102,3
1103,7
1104,2
1105,0
1106,4
1107,5
1108,6
1109,0
1110,6
1111,0
1112,7
1113,2
1114,2
1115,2
1116,0
1117,5
1118,3
1119,3
1120,2
1121,1
1122,7
1123,2
1124,5
1125,2
1126,2
1127,6
1128,5
1129,2
1130,2
1131,4
1132,5
1133,0
1134,0
1135,2
1136,6
1137,6
1138,7
1139,5
1140,7
1141,3
1142,5
1143,2
1144,3
1145,2
1146,1
1147,6
1148,0
1149,6
1150,5
1151,0
1152,1
1153,4
1154,0
1155,6
1156,4
1157,6
1158,0
